Iniciando monitor/controlador uRLLC em 10.0.99.1:5000 (Central de Monitoramento do campus)
Latência medida: 0.450 ms (de 10.0.21.1 - Laboratorios, seq=106)
Latência medida: 0.581 ms (de 10.0.11.1 - Biblioteca, seq=106)
Latência medida: 0.378 ms (de 10.0.31.1 - Reitoria, seq=107)
Latência medida: 0.503 ms (de 10.0.21.1 - Laboratorios, seq=107)
Latência medida: 0.707 ms (de 10.0.11.1 - Biblioteca, seq=107)
Latência medida: 0.472 ms (de 10.0.31.1 - Reitoria, seq=108)
Latência medida: 0.394 ms (de 10.0.21.1 - Laboratorios, seq=108)
Latência medida: 0.731 ms (de 10.0.11.1 - Biblioteca, seq=108)
Latência medida: 0.562 ms (de 10.0.31.1 - Reitoria, seq=109)
Latência medida: 0.584 ms (de 10.0.21.1 - Laboratorios, seq=109)
Latência medida: 0.591 ms (de 10.0.11.1 - Biblioteca, seq=109)
Latência medida: 0.324 ms (de 10.0.31.1 - Reitoria, seq=110)
Latência medida: 0.403 ms (de 10.0.21.1 - Laboratorios, seq=110)
Latência medida: 0.487 ms (de 10.0.11.1 - Biblioteca, seq=110)
Latência medida: 1.139 ms (de 10.0.21.1 - Laboratorios, seq=111)
Latência medida: 4.347 ms (de 10.0.31.1 - Reitoria, seq=111)
Latência medida: 1.070 ms (de 10.0.11.1 - Biblioteca, seq=111)
Latência medida: 0.874 ms (de 10.0.21.1 - Laboratorios, seq=112)
Latência medida: 1.091 ms (de 10.0.31.1 - Reitoria, seq=112)
Latência medida: 0.780 ms (de 10.0.11.1 - Biblioteca, seq=112)
Latência medida: 0.503 ms (de 10.0.31.1 - Reitoria, seq=113)
Latência medida: 0.609 ms (de 10.0.21.1 - Laboratorios, seq=113)
Latência medida: 0.457 ms (de 10.0.11.1 - Biblioteca, seq=113)
Latência medida: 0.802 ms (de 10.0.31.1 - Reitoria, seq=114)
Latência medida: 1.022 ms (de 10.0.21.1 - Laboratorios, seq=114)
Latência medida: 0.774 ms (de 10.0.11.1 - Biblioteca, seq=114)
Latência medida: 0.748 ms (de 10.0.31.1 - Reitoria, seq=115)
Latência medida: 0.538 ms (de 10.0.21.1 - Laboratorios, seq=115)
Latência medida: 0.722 ms (de 10.0.11.1 - Biblioteca, seq=115)
Latência medida: 0.432 ms (de 10.0.31.1 - Reitoria, seq=116)
Latência medida: 0.527 ms (de 10.0.21.1 - Laboratorios, seq=116)
Latência medida: 0.664 ms (de 10.0.11.1 - Biblioteca, seq=116)
Latência medida: 0.711 ms (de 10.0.21.1 - Laboratorios, seq=117)
Latência medida: 0.354 ms (de 10.0.31.1 - Reitoria, seq=117)
Latência medida: 0.483 ms (de 10.0.11.1 - Biblioteca, seq=117)
Latência medida: 0.419 ms (de 10.0.21.1 - Laboratorios, seq=118)
Latência medida: 0.509 ms (de 10.0.31.1 - Reitoria, seq=118)
Latência medida: 0.499 ms (de 10.0.11.1 - Biblioteca, seq=118)
Latência medida: 0.378 ms (de 10.0.21.1 - Laboratorios, seq=119)
Latência medida: 0.716 ms (de 10.0.31.1 - Reitoria, seq=119)
Latência medida: 0.427 ms (de 10.0.11.1 - Biblioteca, seq=119)
Latência medida: 0.385 ms (de 10.0.21.1 - Laboratorios, seq=120)
